,SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,Quarter
512,511,20161229,Healthifyme,Consumer Internet,Fitness Mobile App,Bangalore,NB Ventures,Private Equity,"1,000,000",NA,16,2016-Qtr4
513,512,20161229,LetsMD,Consumer Internet,Healthcare plan comparison platform,New Delhi,"WaterBridge Ventures,",Seed Funding,NA,NA,16,2016-Qtr4
514,513,20161229,Justbooks,Consumer Internet,Library Chain Aggregator,Bangalore,CoCreate Ventures,Seed Funding,NA,NA,16,2016-Qtr4
515,514,20161230,InstantPay,Consumer Internet,Digital payments & recharge platform,New Delhi,"RB Investments,  Kaleden Holdings",Private Equity,NA,NA,16,2016-Qtr4
516,515,20161101,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,"200,000",NA,16,2016-Qtr4
517,516,20161102,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,"55,000,000",NA,16,2016-Qtr4
518,517,20161102,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Undisclosed Investors,Seed Funding,"150,000",NA,16,2016-Qtr4
519,518,20161102,LetsMD,Consumer Internet,Healthcare Services Comparison Platform,New Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,NA,NA,16,2016-Qtr4
520,519,20161102,Sattviko,Food & Beverage,Health Food Restaurant Chain,New Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,NA,NA,16,2016-Qtr4
521,520,20161103,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,"6,000,000",NA,16,2016-Qtr4
522,521,20161103,DoSelect,Consumer Internet,Skill Showcasing platform,Bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital",Seed Funding,NA,NA,16,2016-Qtr4
523,522,20161103,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,"10,000,000",NA,16,2016-Qtr4
524,523,20161104,Browntape,Technology,cloud-based software solutions company,Goa,Gati Ltd,Private Equity,NA,NA,16,2016-Qtr4
525,524,20161104,Connect India,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,"1,000,000",NA,16,2016-Qtr4
526,525,20161104,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,"150,000",NA,16,2016-Qtr4
527,526,20161104,vImmune,Consumer Internet,Immunisation Management Platform,Bangalore,Undisclosed investor,Seed Funding,NA,NA,16,2016-Qtr4
528,527,20161104,The Gourmet Jar,eCommerce,Gourmet Food etailer,Noida,Chandigarh Angels Network,Seed Funding,NA,NA,16,2016-Qtr4
529,528,20161105,Medzin,eCommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,"45,000",NA,16,2016-Qtr4
530,529,20161105,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,"3,000,000",NA,16,2016-Qtr4
531,530,20161107,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,"75,000,000",NA,16,2016-Qtr4
532,531,20161107,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,"3,000,000",NA,16,2016-Qtr4
533,532,20161109,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,"2,000,000",NA,16,2016-Qtr4
534,533,20161109,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,"12,000,000",NA,16,2016-Qtr4
535,534,20161110,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,"1,000,000",NA,16,2016-Qtr4
536,535,20161110,Yottaasys,Technology,Data Sciences platform,Bangalore,Gleevoaz Ventures,Private Equity,NA,NA,16,2016-Qtr4
537,536,20161110,Tone Tag,Technology,Contactless Payment Solution,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,NA,NA,16,2016-Qtr4
538,537,20161111,Life in Control,Consumer Internet,Online Diabetes Management platform,Gurgaon,RoundGlass Partners,Private Equity,NA,NA,16,2016-Qtr4
539,538,20161114,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,"3,000,000",NA,16,2016-Qtr4
540,539,20161114,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"2,000,000",NA,16,2016-Qtr4
541,540,20161115,NoBroker,Consumer Internet,Online Rental discovery,Bangalore,Vijay Shekhar Sharma,Seed Funding,NA,NA,16,2016-Qtr4
542,541,20161115,Zefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,"6,000,000",NA,16,2016-Qtr4
543,542,20161115,PlaySimple,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,"4,000,000",NA,16,2016-Qtr4
544,543,20161116,Stasis Labs,Technology,Cloud based  health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,"5,000,000",NA,16,2016-Qtr4
545,544,20161117,Scienaptic,Technology,Data Analytics platform,Bangalore,Pramod Bhasin,Seed Funding,NA,NA,16,2016-Qtr4
546,545,20161117,Koovs,eCommerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,"13,500,000",NA,16,2016-Qtr4
547,546,20161117,Lawrato,Consumer Internet,Free Legal Advice,New Delhi,Indian Angel Network,Seed Funding,NA,NA,16,2016-Qtr4
548,547,20161117,Trip Tap Toe,Consumer Internet,Online Travel Portal,Gurgaon,R.S Sharma,Seed Funding,NA,NA,16,2016-Qtr4
549,548,20161117,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,"147,000",NA,16,2016-Qtr4
550,549,20161118,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding,"1,000,000",NA,16,2016-Qtr4
551,550,20161118,AerMed,eCommerce,Online Pharmacy,Mumbai,Hitesh Windlass,Seed Funding,NA,NA,16,2016-Qtr4
552,551,20161118,WorkIndia,Consumer Internet,Job Board for Clue Collar Jobs,Mumbai,Asuka Holdings,Seed Funding,NA,NA,16,2016-Qtr4
553,552,20161121,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,"90,000",NA,16,2016-Qtr4
554,553,20161121,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,"650,000",NA,16,2016-Qtr4
555,554,20161122,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,"5,000,000",NA,16,2016-Qtr4
556,555,20161122,Awesummly,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,"147,000",NA,16,2016-Qtr4
557,556,20161122,VoLT,Consumer Internet,Ed-Tech Platform,Mumbai,YMS Mobitech,Seed Funding,NA,NA,16,2016-Qtr4
558,557,20161122,Vymo,Technology,SaaS-based predictive analytics platform,Bangalore,Sequoia India,Private Equity,"5,000,000",NA,16,2016-Qtr4
559,558,20161122,ShubhLoans,Technology,Consumer Finance & Credit Score platform,Bangalore,"Sanjai Vohra, V. Bunty Bohra",Seed Funding,NA,NA,16,2016-Qtr4
560,559,20161122,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,"147,000",NA,16,2016-Qtr4
561,560,20161123,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bangalore,"Delta Partners, Sequoia India,  Mayfield, Blacksoil, Trifecta Capital",Private Equity,"20,000,000",NA,16,2016-Qtr4
562,561,20161123,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,"600,000",NA,16,2016-Qtr4
563,562,20161123,Udaan,eCommerce,B2B Marketplace,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,"10,000,000",NA,16,2016-Qtr4
564,563,20161124,FroyoFit,Consumer Internet,Fitness Discovery Platform,Indore,Dr. Pooja Gandhi,Seed Funding,NA,NA,16,2016-Qtr4
565,564,20161124,Betterplace,Consumer Internet,Background Verification Services,Bangalore,Venture Highway,Seed Funding,NA,NA,16,2016-Qtr4
566,565,20161124,ShareChat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,"4,000,000",NA,16,2016-Qtr4
567,566,20161124,UClean,Consumer Internet,Tech Enabled Laundry Service Provider,Gurgaon,Franchise India,Private Equity,NA,NA,16,2016-Qtr4
568,567,20161124,Servify,Consumer Internet,Personal Device Assistant App,Mumbai,"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar",Private Equity,NA,NA,16,2016-Qtr4
569,568,20161125,Hubilo,Consumer Internet,End-to-end Event Organizers Solutions,Ahmedabad,"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others",Seed Funding,NA,NA,16,2016-Qtr4
570,569,20161125,FunOnGo,Consumer Internet,Digital Media Content and Distribution platform,Mumbai,Reliance Entertainment,Private Equity,NA,NA,16,2016-Qtr4
571,570,20161125,121Policy,Consumer Internet,Online Insurance Platform,Kolkata,Xelpmoc,Seed Funding,NA,NA,16,2016-Qtr4
572,571,20161126,TapChief,Consumer Internet,Professional Expert Advice Platform,Bangalore,"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan",Seed Funding,NA,NA,16,2016-Qtr4
573,572,20161128,Kloseby,Consumer Internet,proximity based  Rewards platform,Bangalore,Undisclosed Investor,Seed Funding,"100,000",NA,16,2016-Qtr4
574,573,20161128,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,"2,000,000",NA,16,2016-Qtr4
575,574,20161129,Crossahead,Consumer Internet,Creative Artists Discovery & Booking platform,Noida,Mohit Sharma,Seed Funding,NA,NA,16,2016-Qtr4
576,575,20161129,Affordplan,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,"3,000,000",NA,16,2016-Qtr4
577,576,20161130,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,"1,000,000",NA,16,2016-Qtr4
578,577,20161130,ShopsUp,eCommerce,Hyperlocal Shopping App,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,"963,000",NA,16,2016-Qtr4
579,578,20161130,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,"150,000",NA,16,2016-Qtr4
580,579,20161130,Entropika,Technology,"AI, Machine learning Solutions",Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,"200,000",NA,16,2016-Qtr4
581,580,20161130,MarianaIQ,Technology,AI-driven B2B marketing platform,Bangalore,Exfinity Venture Partners,Private Equity,"2,000,000",NA,16,2016-Qtr4
582,581,20161130,Chai Thela,Food & Beverage,Quick Service Restaurants,Noida,Quarizon,Seed Funding,"218,000",NA,16,2016-Qtr4
583,582,20161130,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,"100,000",NA,16,2016-Qtr4
584,583,20161130,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,"440,000",NA,16,2016-Qtr4
585,584,20161130,Pulse,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,"500,000",NA,16,2016-Qtr4
586,585,20161130,MonkeyBox,Consumer Internet,Healthy Food Delivery platform,Bangalore,Blume Ventures & Others,Seed Funding,NA,NA,16,2016-Qtr4
587,586,20161130,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,"500,000",NA,16,2016-Qtr4
588,587,20161003,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,NA,NA,16,2016-Qtr4
589,588,20161003,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,"5,000,000",NA,16,2016-Qtr4
590,589,20161003,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,NA,NA,16,2016-Qtr4
591,590,20161003,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"2,000,000",NA,16,2016-Qtr4
592,591,20161003,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,"200,000",NA,16,2016-Qtr4
593,592,20161004,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,"450,000",NA,16,2016-Qtr4
594,593,20161004,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,NA,NA,16,2016-Qtr4
595,594,20161004,GOQii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,NA,NA,16,2016-Qtr4
596,595,20161004,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,"2,000,000",NA,16,2016-Qtr4
597,596,20161004,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"4,200,000",NA,16,2016-Qtr4
598,597,20161004,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,"3,000,000",NA,16,2016-Qtr4
599,598,20161004,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,NA,NA,16,2016-Qtr4
600,599,20161004,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,  Smart Start Fund; Kunal Shah,  Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"1,000,000",NA,16,2016-Qtr4
601,600,20161004,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,"2,500,000",NA,16,2016-Qtr4
602,601,20161004,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"3,750,000",NA,16,2016-Qtr4
603,602,20161005,MuhurtMaza,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,NA,NA,16,2016-Qtr4
604,603,20161005,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,NA,NA,16,2016-Qtr4
605,604,20161005,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,NA,NA,16,2016-Qtr4
606,605,20161005,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"1,200,000",NA,16,2016-Qtr4
607,606,20161006,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,NA,NA,16,2016-Qtr4
608,607,20161006,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,"300,000",NA,16,2016-Qtr4
609,608,20161006,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,NA,NA,16,2016-Qtr4
610,609,20161006,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,"1,050,000",NA,16,2016-Qtr4
611,610,20161007,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,"100,000",NA,16,2016-Qtr4
612,611,20161007,KOOH Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,"2,200,000",NA,16,2016-Qtr4
613,612,20161007,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"15,000,000",NA,16,2016-Qtr4
614,613,20161007,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,NA,NA,16,2016-Qtr4
615,614,20161010,Vithi.com,eCommerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding,"375,000",NA,16,2016-Qtr4
616,615,20161011,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,"50,000,000",NA,16,2016-Qtr4
617,616,20161011,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"500,000",NA,16,2016-Qtr4
618,617,20161012,ZipLoan,Consumer Internet,online lending platform,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,  Badal Malick",Seed Funding,NA,NA,16,2016-Qtr4
619,618,20161013,FabAlley,ecommerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"2,000,000",NA,16,2016-Qtr4
620,619,20161013,Shoekonnect,eCommerce,B2B Marketplace for Shoes,Agra,Indian Angel Network,Seed Funding,NA,NA,16,2016-Qtr4
621,620,20161013,Maya,Consumer Internet,Womens Health Tracker App,Bangalore,Rajan Anandan,Seed Funding,NA,NA,16,2016-Qtr4
622,621,20161013,RoboVac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,"450,000",NA,16,2016-Qtr4
623,622,20161014,Newspatrolling,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding,"25,000",NA,16,2016-Qtr4
624,623,20161014,Postman,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,"7,000,000",NA,16,2016-Qtr4
625,624,20161014,ISFC,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,"6,000,000",NA,16,2016-Qtr4
626,625,20161014,BeatRoute,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services LLP,Seed Funding,NA,NA,16,2016-Qtr4
627,626,20161014,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,NA,NA,16,2016-Qtr4
628,627,20161014,Innov8,Consumer Internet,Co-Working Spaces aggregator,Bangalore,Punit Soni,Seed Funding,NA,NA,16,2016-Qtr4
629,628,20161015,DailyHunt,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge",Private Equity,"25,000,000",NA,16,2016-Qtr4
630,629,20161015,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,"227,000",NA,16,2016-Qtr4
631,630,20161015,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"1,000,000",NA,16,2016-Qtr4
632,631,20161017,Trilyo,Technology,B2B SAAS based product,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,NA,NA,16,2016-Qtr4
633,632,20161017,Rooter,Consumer Internet,Sports Social Network mobile app,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,NA,NA,16,2016-Qtr4
634,633,20161017,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,"300,000",NA,16,2016-Qtr4
635,634,20161017,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,"16,000,000",NA,16,2016-Qtr4
636,635,20161018,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,"150,000",NA,16,2016-Qtr4
637,636,20161018,BabyChakra,Consumer Internet,Parenting and Child Care portal,Mumbai,RoundGlass Partners,Private Equity,NA,NA,16,2016-Qtr4
638,637,20161018,Coppre,eCommerce,Copper based items etailer,Pune,Ganesh Natarajan,Seed Funding,NA,NA,16,2016-Qtr4
639,638,20161018,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,"2,500,000",NA,16,2016-Qtr4
640,639,20161018,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,"Hyderabad Angels, TLabs",Seed Funding,NA,NA,16,2016-Qtr4
641,640,20161019,Furlenco,Consumer Internet,Online Furniture Rental platform,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,"30,000,000",NA,16,2016-Qtr4
642,641,20161019,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"1,100,000",NA,16,2016-Qtr4
643,642,20161019,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,"750,000",NA,16,2016-Qtr4
644,643,20161020,Stayology,Consumer Internet,Stay & Travel related services,Bangalore,Ranjan Pai,Seed Funding,NA,NA,16,2016-Qtr4
645,644,20161020,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,NA,NA,16,2016-Qtr4
646,645,20161020,RailYatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,NA,NA,16,2016-Qtr4
647,646,20161021,ChatOnGo,Consumer Internet,Hyperlocal  Communication Mobile app,Mumbai,Janak Jain,Seed Funding,"300,000",NA,16,2016-Qtr4
648,647,20161023,WOTU,eCommerce,B2B Marketplace for traders,Bangalore,KAE capital,Seed Funding,NA,NA,16,2016-Qtr4
649,648,20161024,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,"3,000,000",NA,16,2016-Qtr4
650,649,20161024,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"7,500,000",NA,16,2016-Qtr4
651,650,20161025,Kredx,eCommerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,"6,000,000",NA,16,2016-Qtr4
652,651,20161025,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,"500,000",NA,16,2016-Qtr4
653,652,20161025,Pickrr,Technology,Courier Logistics & Order management Solutions,New Delhi,Swastika Company Ltd,Seed Funding,NA,NA,16,2016-Qtr4
654,653,20161025,SatvaKart,eCommerce,Online Grocery Etailer,Gurgaon,Nimit Panigrahi,Seed Funding,NA,NA,16,2016-Qtr4
655,654,20161025,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,"100,000",NA,16,2016-Qtr4
656,655,20161026,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,"1,000,000",NA,16,2016-Qtr4
657,656,20161026,Wooplr,Consumer Internet,Fashion Discovery App,Bangalore,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,NA,NA,16,2016-Qtr4
658,657,20161026,The Kettlery,eCommerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"1,000,000",NA,16,2016-Qtr4
659,658,20161027,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"700,000",NA,16,2016-Qtr4
660,659,20161027,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"971,000",NA,16,2016-Qtr4
661,660,20161027,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,Hero MotoCorp,Private Equity,"27,000,000",NA,16,2016-Qtr4
662,661,20161028,Pikkol,Logistics,Relocation Service provider,Bangalore,"Ajay Nanavati, Afsal Salu",Seed Funding,NA,NA,16,2016-Qtr4
663,662,20161029,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,"100,000",NA,16,2016-Qtr4
664,663,20161029,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"100,000",NA,16,2016-Qtr4
665,664,20161029,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding,"100,000",NA,16,2016-Qtr4
666,665,20161030,Impact Analytics,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"750,000",NA,16,2016-Qtr4
667,666,20161031,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,"1,000,000",NA,16,2016-Qtr4
668,667,20160901,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,NA,NA,16,2016-Qtr3
669,668,20160901,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,"6,700,000",NA,16,2016-Qtr3
670,669,20160901,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,NA,NA,16,2016-Qtr3
671,670,20160901,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,Amit Choudhary,Seed Funding,NA,NA,16,2016-Qtr3
672,671,20160904,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,NA,NA,16,2016-Qtr3
673,672,20160905,Social Quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,NA,NA,16,2016-Qtr3
674,673,20160905,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,NA,NA,16,2016-Qtr3
675,674,20160906,eShakti,eCommerce,Women’s Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"1,350,000",NA,16,2016-Qtr3
676,675,20160906,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,"500,000",NA,16,2016-Qtr3
677,676,20160906,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,NA,NA,16,2016-Qtr3
678,677,20160906,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,"900,000",NA,16,2016-Qtr3
679,678,20160907,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.  Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"8,000,000",NA,16,2016-Qtr3
680,679,20160907,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,"500,000",NA,16,2016-Qtr3
